1,90532,0.02
1,113878,0.15
1,127765,0.13
1,150496,0.13
1,166578,0.07
1,176626,0.06
1,190844,0.17
1,199596,0.23
1,230517,0.21
1,240549,0.02
1,245963,0.15
1,275789,0.07
1,293465,0.19
1,299645,0.11
1,322363,0.09
1,326142,0.33
1,334715,0.09
1,338390,0.06
1,342733,0.24
1,351698,0.1
1,357003,0.15
1,361057,0.23
1,367214,0.23
1,374824,0.13
1,386037,0.01
1,396462,0.15
1,404006,0.06
1,419538,0.07
1,432169,0.06
1,441014,0.06
1,464149,0.03
1,473764,0.12
1,490207,0.33
1,507212,0.13
1,515516,0.02
1,528151,0.12
1,549421,0.09
1,565470,0.19
1,581247,0.1
1,594636,0.09
1,607709,0.01
1,612286,0.07
1,622229,0.02
1,625949,0.07
1,635123,0.12
1,645865,0.12
1,656074,0.01
1,664220,0.08
1,684297,0.16
1,690868,0.06
1,707806,0.23
1,713029,0.33
1,717473,0.51
1,734516,0.14
1,751047,0.13
1,768789,0.08
1,782034,0.08
1,793036,0.14
1,823439,0.05
1,844330,0.4
1,876434,0.27
1,881992,0.19
1,889888,0.02
1,904005,0.51
1,913275,0.04
1,920092,0.05
1,949456,0.13
1,967448,0.41
1,978693,0.05
1,995263,0.07
1,1011039,0.06
1,1020574,0.2
1,1030288,0.05
1,1039035,0.14
1,1043427,0.06
1,1047446,0.14
1,1055325,0.03
1,1059781,0.05
1,1082417,0.57
1,1088084,0.31
1,1094898,0.44
1,1131055,0.13
1,1141098,0.2
1,1156828,0.2
1,1164048,0.14
1,1188713,0.38
1,1198285,0.49
1,1218247,0.08
1,1229737,0.13
1,1235693,0.05
1,1257102,0.6
1,1275377,0.26
1,1282801,0.28
1,1315334,0.13
1,1375738,0.17
1,1382406,0.14
1,1388312,0.33
1,1398795,0.01
1,1411409,0.03
1,1423140,0.46
1,1435283,0.15
1,1439786,0.2
1,1442837,0.42
1,1454947,0.27
1,1475393,0.48
1,1487141,0.11
1,1504439,0.18
1,1509675,0.32
1,1574967,0.37
1,1588598,0.12
1,1598438,0.08
1,1620493,0.17
1,1624785,0.04
1,1640654,0.1
1,1645110,0.09
1,1651637,0.02
1,1669401,0.14
1,1683817,0.02
1,1695580,0.13
1,1710321,0.35
1,1718596,0.25
1,1735334,0.37
1,1748489,0.14
1,1770871,0.05
1,1777203,0.04
1,1791786,0.11
1,1795829,0.09
1,1824895,0.13
1,1827930,0.3
1,1836175,0.45
1,1843145,0.17
1,1857815,0.32
1,1865913,0.13
1,1887064,0.04
1,1901859,0.01
1,1921023,0.05
1,1928605,0.01
1,1940651,0.04
1,1949795,0.06
1,1963087,0.01
1,1974174,0.34
1,1980373,0.11
1,2009050,0.06
1,2014231,0.02
1,2017794,0.01
1,2022451,0.11
1,2027252,0.07
1,2030386,0.19
1,2042881,0.27
1,2051708,0.08
1,2067716,0.01
1,2078793,0.17
1,2084908,0.14
1,2088021,0.12
1,2101912,0.12
1,2113677,0.09
1,2119459,0.04
1,2123654,0.04
1,2135567,0.2
1,2141705,0.07
1,2166330,0.12
1,2176426,0.04
1,2190160,0.09
1,2193211,0.19
1,2208653,0.14
1,2216746,0.05
1,2230620,0.22
1,2242233,0.16
1,2251481,0.2
1,2255736,0.34
1,2264812,0.16
1,2274255,0.07
1,2280746,0.3
1,2285764,0.06
1,2304975,0.17
1,2312095,0.22
1,2317847,0.35
1,2337467,0.15
1,2343102,0.25
1,2349452,0.07
1,2355393,0.01
1,2358804,0.05
1,2376539,0.01
1,2391974,0.05
1,2397682,0.07
1,2425576,0.06
1,2441473,0.33
1,2451372,0.2
1,2471981,0.05
1,2499146,0.18
1,2506121,0.09
1,2516139,0.01
1,2528176,0.17
